MUN_NAME,scen,seas,tslice,var,value
SIRICILLA,RCP85,Annual,2061-2090,tmax,3.4638221
SIRICILLA,RCP85,Annual,2061-2090,tmin,3.8340852
SIRICILLA,RCP85,JJAS,2021-2050,precip,15.608401
SIRICILLA,RCP85,JJAS,2021-2050,tmean,1.3591671
SIRICILLA,RCP85,JJAS,2021-2050,tmax,1.7052388
SIRICILLA,RCP85,JJAS,2021-2050,tmin,1.3580229
SIRICILLA,RCP85,JJAS,2061-2090,precip,18.789349
SIRICILLA,RCP85,JJAS,2061-2090,tmean,3.1695814
SIRICILLA,RCP85,JJAS,2061-2090,tmax,3.3062377
SIRICILLA,RCP85,JJAS,2061-2090,tmin,3.2400527
SIRICILLA,RCP85,ON,2021-2050,precip,67.74322
SIRICILLA,RCP85,ON,2021-2050,tmean,1.3620992
SIRICILLA,RCP85,ON,2021-2050,tmax,1.6900578
SIRICILLA,RCP85,ON,2021-2050,tmin,1.6156344
SIRICILLA,RCP85,ON,2061-2090,precip,91.85454
SIRICILLA,RCP85,ON,2061-2090,tmean,3.0384903
SIRICILLA,RCP85,ON,2061-2090,tmax,2.9079847
SIRICILLA,RCP85,ON,2061-2090,tmin,3.6754193
SIRICILLA,RCP85,DJF,2021-2050,precip,9.075292
SIRICILLA,RCP85,DJF,2021-2050,tmean,1.5863216
SIRICILLA,RCP85,DJF,2021-2050,tmax,2.1829913
SIRICILLA,RCP85,DJF,2021-2050,tmin,1.8441286
SIRICILLA,RCP85,DJF,2061-2090,precip,8.847798
SIRICILLA,RCP85,DJF,2061-2090,tmean,3.8012886
SIRICILLA,RCP85,DJF,2061-2090,tmax,4.061036
SIRICILLA,RCP85,DJF,2061-2090,tmin,4.4280663
SIRICILLA,RCP85,MAM,2021-2050,precip,38.55797
SIRICILLA,RCP85,MAM,2021-2050,tmean,1.9157848
SIRICILLA,RCP85,MAM,2021-2050,tmax,1.6003125
SIRICILLA,RCP85,MAM,2021-2050,tmin,1.8252614
SIRICILLA,RCP85,MAM,2061-2090,precip,50.45716
SIRICILLA,RCP85,MAM,2061-2090,tmean,4.1027355
SIRICILLA,RCP85,MAM,2061-2090,tmax,3.447279
SIRICILLA,RCP85,MAM,2061-2090,tmin,4.137925
SATHUPALLY,RCP45,Annual,2021-2050,precip,26.084108
SATHUPALLY,RCP45,Annual,2021-2050,tmean,1.3080257
SATHUPALLY,RCP45,Annual,2021-2050,tmax,1.6140938
SATHUPALLY,RCP45,Annual,2021-2050,tmin,1.2802014
SATHUPALLY,RCP45,Annual,2061-2090,precip,35.611515
SATHUPALLY,RCP45,Annual,2061-2090,tmean,2.0270526
SATHUPALLY,RCP45,Annual,2061-2090,tmax,1.9652615
SATHUPALLY,RCP45,Annual,2061-2090,tmin,2.0111885
SATHUPALLY,RCP45,JJAS,2021-2050,precip,20.561367
SATHUPALLY,RCP45,JJAS,2021-2050,tmean,1.189755
SATHUPALLY,RCP45,JJAS,2021-2050,tmax,1.5199442
SATHUPALLY,RCP45,JJAS,2021-2050,tmin,1.1519413
SATHUPALLY,RCP45,JJAS,2061-2090,precip,23.665096
SATHUPALLY,RCP45,JJAS,2061-2090,tmean,1.9091988
SATHUPALLY,RCP45,JJAS,2061-2090,tmax,1.9353595
SATHUPALLY,RCP45,JJAS,2061-2090,tmin,1.7744236
SATHUPALLY,RCP45,ON,2021-2050,precip,37.244663
SATHUPALLY,RCP45,ON,2021-2050,tmean,1.1365585
SATHUPALLY,RCP45,ON,2021-2050,tmax,1.540842
SATHUPALLY,RCP45,ON,2021-2050,tmin,1.0992346
SATHUPALLY,RCP45,ON,2061-2090,precip,54.9666
SATHUPALLY,RCP45,ON,2061-2090,tmean,1.8178148
SATHUPALLY,RCP45,ON,2061-2090,tmax,1.7474909
SATHUPALLY,RCP45,ON,2061-2090,tmin,1.8982983
SATHUPALLY,RCP45,DJF,2021-2050,precip,3.1780176
SATHUPALLY,RCP45,DJF,2021-2050,tmean,1.3709615
SATHUPALLY,RCP45,DJF,2021-2050,tmax,1.8778559
SATHUPALLY,RCP45,DJF,2021-2050,tmin,1.4458147
SATHUPALLY,RCP45,DJF,2061-2090,precip,22.322248
SATHUPALLY,RCP45,DJF,2061-2090,tmean,2.1601582
SATHUPALLY,RCP45,DJF,2061-2090,tmax,2.1652668
SATHUPALLY,RCP45,DJF,2061-2090,tmin,2.2502706
SATHUPALLY,RCP45,MAM,2021-2050,precip,48.913483
SATHUPALLY,RCP45,MAM,2021-2050,tmean,1.5170956
SATHUPALLY,RCP45,MAM,2021-2050,tmax,1.5246989
SATHUPALLY,RCP45,MAM,2021-2050,tmin,1.4062462
SATHUPALLY,RCP45,MAM,2061-2090,precip,51.925953
SATHUPALLY,RCP45,MAM,2061-2090,tmean,2.1905773
SATHUPALLY,RCP45,MAM,2061-2090,tmax,1.9503059
SATHUPALLY,RCP45,MAM,2061-2090,tmin,2.1630528
SATHUPALLY,RCP85,Annual,2021-2050,precip,28.611994
SATHUPALLY,RCP85,Annual,2021-2050,tmean,1.4551625
SATHUPALLY,RCP85,Annual,2021-2050,tmax,1.8199409
SATHUPALLY,RCP85,Annual,2021-2050,tmin,1.4884877
SATHUPALLY,RCP85,Annual,2061-2090,precip,28.125246
SATHUPALLY,RCP85,Annual,2061-2090,tmean,3.3422234
SATHUPALLY,RCP85,Annual,2061-2090,tmax,3.5125337
SATHUPALLY,RCP85,Annual,2061-2090,tmin,3.4951844
SATHUPALLY,RCP85,JJAS,2021-2050,precip,19.603209
SATHUPALLY,RCP85,JJAS,2021-2050,tmean,1.3122644
SATHUPALLY,RCP85,JJAS,2021-2050,tmax,1.6946349
SATHUPALLY,RCP85,JJAS,2021-2050,tmin,1.3516016
SATHUPALLY,RCP85,JJAS,2061-2090,precip,24.922321
SATHUPALLY,RCP85,JJAS,2061-2090,tmean,3.1430387
SATHUPALLY,RCP85,JJAS,2061-2090,tmax,3.356052
SATHUPALLY,RCP85,JJAS,2061-2090,tmin,3.200367
SATHUPALLY,RCP85,ON,2021-2050,precip,59.685963
SATHUPALLY,RCP85,ON,2021-2050,tmean,1.3484888
SATHUPALLY,RCP85,ON,2021-2050,tmax,1.7866488
SATHUPALLY,RCP85,ON,2021-2050,tmin,1.3592396
SATHUPALLY,RCP85,ON,2061-2090,precip,69.97729
SATHUPALLY,RCP85,ON,2061-2090,tmean,3.0112886
SATHUPALLY,RCP85,ON,2061-2090,tmax,3.2203646
SATHUPALLY,RCP85,ON,2061-2090,tmin,3.326707
SATHUPALLY,RCP85,DJF,2021-2050,precip,16.24706
SATHUPALLY,RCP85,DJF,2021-2050,tmean,1.4543215
SATHUPALLY,RCP85,DJF,2021-2050,tmax,2.1302478
SATHUPALLY,RCP85,DJF,2021-2050,tmin,1.6045138
SATHUPALLY,RCP85,DJF,2061-2090,precip,-3.5277984
SATHUPALLY,RCP85,DJF,2061-2090,tmean,3.5249958
SATHUPALLY,RCP85,DJF,2061-2090,tmax,3.9528434
SATHUPALLY,RCP85,DJF,2061-2090,tmin,3.8255327
SATHUPALLY,RCP85,MAM,2021-2050,precip,32.27266
SATHUPALLY,RCP85,MAM,2021-2050,tmean,1.71765
SATHUPALLY,RCP85,MAM,2021-2050,tmax,1.6989034
SATHUPALLY,RCP85,MAM,2021-2050,tmin,1.6411419
SATHUPALLY,RCP85,MAM,2061-2090,precip,36.147495
SATHUPALLY,RCP85,MAM,2061-2090,tmean,3.645654
