,metric,region,scen,seas,tslice,value
201,CDD,MANDAMARRI,RCP45,Annual,2061-2090,-21.0
202,CDD,MANDAMARRI,RCP45,JJAS,2021-2050,0.0
203,CDD,MANDAMARRI,RCP45,JJAS,2061-2090,0.0
204,CDD,MANDAMARRI,RCP45,ON,2021-2050,-15.0
205,CDD,MANDAMARRI,RCP45,ON,2061-2090,-23.0
206,CDD,MANDAMARRI,RCP45,DJF,2021-2050,-6.0
207,CDD,MANDAMARRI,RCP45,DJF,2061-2090,0.0
208,CDD,MANDAMARRI,RCP45,MAM,2021-2050,-15.0
209,CDD,MANDAMARRI,RCP45,MAM,2061-2090,-3.0
210,CDD,MANDAMARRI,RCP85,Annual,2021-2050,-39.0
211,CDD,MANDAMARRI,RCP85,Annual,2061-2090,-39.0
212,CDD,MANDAMARRI,RCP85,JJAS,2021-2050,0.0
213,CDD,MANDAMARRI,RCP85,JJAS,2061-2090,0.0
214,CDD,MANDAMARRI,RCP85,ON,2021-2050,-22.0
215,CDD,MANDAMARRI,RCP85,ON,2061-2090,-21.0
216,CDD,MANDAMARRI,RCP85,DJF,2021-2050,-9.0
217,CDD,MANDAMARRI,RCP85,DJF,2061-2090,-11.0
218,CDD,MANDAMARRI,RCP85,MAM,2021-2050,-7.0
219,CDD,MANDAMARRI,RCP85,MAM,2061-2090,-9.0
220,CDD,MANCHERIAL,RCP45,Annual,2021-2050,-37.0
221,CDD,MANCHERIAL,RCP45,Annual,2061-2090,-19.5
222,CDD,MANCHERIAL,RCP45,JJAS,2021-2050,0.0
223,CDD,MANCHERIAL,RCP45,JJAS,2061-2090,0.0
224,CDD,MANCHERIAL,RCP45,ON,2021-2050,-17.0
225,CDD,MANCHERIAL,RCP45,ON,2061-2090,-25.0
226,CDD,MANCHERIAL,RCP45,DJF,2021-2050,-4.5
227,CDD,MANCHERIAL,RCP45,DJF,2061-2090,4.5
228,CDD,MANCHERIAL,RCP45,MAM,2021-2050,-16.0
229,CDD,MANCHERIAL,RCP45,MAM,2061-2090,-4.5
230,CDD,MANCHERIAL,RCP85,Annual,2021-2050,-43.5
231,CDD,MANCHERIAL,RCP85,Annual,2061-2090,-38.5
232,CDD,MANCHERIAL,RCP85,JJAS,2021-2050,0.0
233,CDD,MANCHERIAL,RCP85,JJAS,2061-2090,0.0
234,CDD,MANCHERIAL,RCP85,ON,2021-2050,-24.5
235,CDD,MANCHERIAL,RCP85,ON,2061-2090,-22.0
236,CDD,MANCHERIAL,RCP85,DJF,2021-2050,-6.5
237,CDD,MANCHERIAL,RCP85,DJF,2061-2090,-9.0
238,CDD,MANCHERIAL,RCP85,MAM,2021-2050,-12.0
239,CDD,MANCHERIAL,RCP85,MAM,2061-2090,-10.5
240,CDD,MUNBND_KOTTHAGUDEM,RCP45,Annual,2021-2050,-26.5
241,CDD,MUNBND_KOTTHAGUDEM,RCP45,Annual,2061-2090,-8.0
242,CDD,MUNBND_KOTTHAGUDEM,RCP45,JJAS,2021-2050,0.0
243,CDD,MUNBND_KOTTHAGUDEM,RCP45,JJAS,2061-2090,0.0
244,CDD,MUNBND_KOTTHAGUDEM,RCP45,ON,2021-2050,-5.0
245,CDD,MUNBND_KOTTHAGUDEM,RCP45,ON,2061-2090,-11.5
246,CDD,MUNBND_KOTTHAGUDEM,RCP45,DJF,2021-2050,-9.0
247,CDD,MUNBND_KOTTHAGUDEM,RCP45,DJF,2061-2090,4.0
248,CDD,MUNBND_KOTTHAGUDEM,RCP45,MAM,2021-2050,-8.5
249,CDD,MUNBND_KOTTHAGUDEM,RCP45,MAM,2061-2090,-11.0
250,CDD,MUNBND_KOTTHAGUDEM,RCP85,Annual,2021-2050,-33.5
251,CDD,MUNBND_KOTTHAGUDEM,RCP85,Annual,2061-2090,-37.5
252,CDD,MUNBND_KOTTHAGUDEM,RCP85,JJAS,2021-2050,0.0
253,CDD,MUNBND_KOTTHAGUDEM,RCP85,JJAS,2061-2090,0.0
254,CDD,MUNBND_KOTTHAGUDEM,RCP85,ON,2021-2050,-11.0
255,CDD,MUNBND_KOTTHAGUDEM,RCP85,ON,2061-2090,-15.0
256,CDD,MUNBND_KOTTHAGUDEM,RCP85,DJF,2021-2050,-8.5
257,CDD,MUNBND_KOTTHAGUDEM,RCP85,DJF,2061-2090,-14.0
258,CDD,MUNBND_KOTTHAGUDEM,RCP85,MAM,2021-2050,-9.5
259,CDD,MUNBND_KOTTHAGUDEM,RCP85,MAM,2061-2090,-8.5
260,CDD,KORUTLA,RCP45,Annual,2021-2050,-32.0
