,metric,region,scen,tslice,value
195,hotdays,MANCHERIAL,RCP85,2061-2090,71.11667
196,hotdays,MUNBND_KOTTHAGUDEM,RCP45,2021-2050,18.983334
197,hotdays,MUNBND_KOTTHAGUDEM,RCP45,2061-2090,51.933334
198,hotdays,MUNBND_KOTTHAGUDEM,RCP85,2021-2050,22.05
199,hotdays,MUNBND_KOTTHAGUDEM,RCP85,2061-2090,77.7
200,hotdays,KORUTLA,RCP45,2021-2050,23.6
201,hotdays,KORUTLA,RCP45,2061-2090,53.6
202,hotdays,KORUTLA,RCP85,2021-2050,26.633333
203,hotdays,KORUTLA,RCP85,2061-2090,75.666664
204,hotdays,KHAMMAM,RCP45,2021-2050,18.4
205,hotdays,KHAMMAM,RCP45,2061-2090,48.98333
206,hotdays,KHAMMAM,RCP85,2021-2050,21.683334
207,hotdays,KHAMMAM,RCP85,2061-2090,73.566666
208,hotdays,KARIMNAGAR,RCP45,2021-2050,21.883335
209,hotdays,KARIMNAGAR,RCP45,2061-2090,53.766666
210,hotdays,KARIMNAGAR,RCP85,2021-2050,25.25
211,hotdays,KARIMNAGAR,RCP85,2061-2090,76.23334
212,hotdays,KAGAZNAGAR,RCP45,2021-2050,26.8
213,hotdays,KAGAZNAGAR,RCP45,2061-2090,47.266666
214,hotdays,KAGAZNAGAR,RCP85,2021-2050,31.566668
215,hotdays,KAGAZNAGAR,RCP85,2061-2090,69.03333
216,hotdays,JANGAON,RCP45,2021-2050,6.9666667
217,hotdays,JANGAON,RCP45,2061-2090,46.233334
218,hotdays,JANGAON,RCP85,2021-2050,7.9666667
219,hotdays,JANGAON,RCP85,2061-2090,69.96667
220,hotdays,JAGTIAL,RCP45,2021-2050,24.9
221,hotdays,JAGTIAL,RCP45,2061-2090,52.433334
222,hotdays,JAGTIAL,RCP85,2021-2050,28.233334
223,hotdays,JAGTIAL,RCP85,2061-2090,74.73333
224,hotdays,BHAINSA,RCP45,2021-2050,23.1
225,hotdays,BHAINSA,RCP45,2061-2090,49.983334
226,hotdays,BHAINSA,RCP85,2021-2050,27.233334
227,hotdays,BHAINSA,RCP85,2061-2090,71.316666
228,hotdays,ADILABAD,RCP45,2021-2050,24.0
229,hotdays,ADILABAD,RCP45,2061-2090,47.166668
230,hotdays,ADILABAD,RCP85,2021-2050,28.866667
231,hotdays,ADILABAD,RCP85,2061-2090,68.46667
232,hotdays,ZAHEERABAD,RCP45,2021-2050,2.3333335
233,hotdays,ZAHEERABAD,RCP45,2061-2090,41.683334
234,hotdays,ZAHEERABAD,RCP85,2021-2050,2.7166667
235,hotdays,ZAHEERABAD,RCP85,2061-2090,65.36667
236,hotdays,WANAPARTHY,RCP45,2021-2050,2.4833333
237,hotdays,WANAPARTHY,RCP45,2061-2090,32.433334
238,hotdays,WANAPARTHY,RCP85,2021-2050,2.9333334
239,hotdays,WANAPARTHY,RCP85,2061-2090,57.36667
240,hotdays,VIKARABAD,RCP45,2021-2050,0.68888885
241,hotdays,VIKARABAD,RCP45,2061-2090,33.97778
242,hotdays,VIKARABAD,RCP85,2021-2050,0.59999996
243,hotdays,VIKARABAD,RCP85,2061-2090,59.02222
244,hotdays,TANDUR,RCP45,2021-2050,2.8333333
245,hotdays,TANDUR,RCP45,2061-2090,40.2
246,hotdays,TANDUR,RCP85,2021-2050,3.3
247,hotdays,TANDUR,RCP85,2061-2090,64.1
248,hotdays,SURYAPET,RCP45,2021-2050,15.875001
249,hotdays,SURYAPET,RCP45,2061-2090,47.149998
250,hotdays,SURYAPET,RCP85,2021-2050,18.025
251,hotdays,SURYAPET,RCP85,2061-2090,70.399994
252,hotdays,SIDDIPET,RCP45,2021-2050,6.522222
253,hotdays,SIDDIPET,RCP45,2061-2090,47.36667
254,hotdays,SIDDIPET,RCP85,2021-2050,7.988889
255,hotdays,SIDDIPET,RCP85,2061-2090,70.78889
256,hotdays,SADASIVAPET,RCP45,2021-2050,1.3833333
257,hotdays,SADASIVAPET,RCP45,2061-2090,37.88333
258,hotdays,SADASIVAPET,RCP85,2021-2050,1.4
